@relation R_data_frame

@attribute att1 numeric
@attribute att2 numeric
@attribute class {class1,class2}
@attribute instanceId numeric
@attribute timeStamp numeric

@data
0.347333,0.039794,?,100,100
0.796681,0.707927,?,101,101
0.207715,0.332717,class1,1,101
0.80332,0.082084,?,102,102
0.006117,0.963705,class1,2,102
0.961182,0.238113,?,103,103
0.947195,0.937082,class2,3,103
0.481088,0.065748,?,104,104
0.347518,0.294057,class1,4,104
0.893238,0.864376,?,105,105
0.115967,0.770536,class1,5,105
0.349781,0.129969,?,106,106
0.156747,0.378202,class1,6,106
0.431965,0.129873,?,107,107
0.694948,0.805228,class2,7,107
0.517706,0.554398,?,108,108
0.523135,0.743984,class2,8,108
0.380352,0.172498,?,109,109
0.481728,0.544555,class2,9,109
0.478372,0.87529,?,110,110
0.204914,0.623364,class1,10,110
0.529256,0.633051,?,111,111
0.010684,0.161043,class1,11,111
0.24625,0.851922,?,112,112
0.540397,0.973834,class2,12,112
0.889826,0.027663,?,113,113
0.394521,0.217602,class1,13,113
0.290077,0.081628,?,114,114
0.233156,0.889909,class1,14,114
0.359339,0.603125,?,115,115
0.592379,0.655174,class2,15,115
0.631842,0.884465,?,116,116
0.652477,0.984323,class2,16,116
0.643277,0.067801,?,117,117
0.37465,0.46335,class1,17,117
0.552196,0.530531,?,118,118
0.443212,0.504136,class1,18,118
0.943693,0.934496,?,119,119
0.630405,0.909584,class2,19,119
0.165558,0.922308,?,120,120
0.491451,0.428784,class1,20,120
0.7365,0.819015,?,121,121
0.717322,0.962415,class2,21,121
0.447722,0.413509,?,122,122
0.172649,0.548953,class1,22,122
0.668876,0.312331,?,123,123
0.587816,0.789191,class2,23,123
0.721769,0.721435,?,124,124
0.204636,0.254909,class1,24,124
0.967329,0.748228,?,125,125
0.225022,0.983103,class1,25,125
0.850344,0.53305,?,126,126
0.836315,0.163104,class2,26,126
0.746436,0.693804,?,127,127
0.00876,0.63119,class1,27,127
0.519111,0.811278,?,128,128
0.880357,0.707044,class2,28,128
0.721356,0.528968,?,129,129
0.509493,0.987102,class2,29,129
0.711968,0.357314,?,130,130
0.710575,0.823981,class2,30,130
0.262171,0.393711,?,131,131
0.616951,0.481862,class2,31,131
0.317363,0.491337,?,132,132
0.617146,0.02812,class1,32,132
0.676968,0.768814,?,133,133
0.073026,0.074048,class1,33,133
0.420145,0.876458,?,134,134
0.280002,0.603984,class1,34,134
0.500493,0.326165,?,135,135
0.353823,0.598632,class1,35,135
0.237418,0.362094,?,136,136
0.876443,0.74425,class2,36,136
0.306951,0.608128,?,137,137
0.375808,0.271293,class1,37,137
0.472055,0.080653,?,138,138
0.886744,0.043703,class2,38,138
0.804852,0.849638,?,139,139
0.86245,0.901924,class2,39,139
0.565148,0.947068,?,140,140
0.76382,0.4277,class2,40,140
0.338515,0.479592,?,141,141
0.061902,0.586321,class1,41,141
0.5197,0.720625,?,142,142
0.662026,0.907281,class2,42,142
0.279124,0.776811,?,143,143
0.248489,0.706858,class1,43,143
0.592368,0.163075,?,144,144
0.607335,0.315423,class2,44,144
0.486869,0.916713,?,145,145
0.451009,0.369134,class1,45,145
0.767731,0.821168,?,146,146
0.177243,0.676123,class1,46,146
0.147554,0.443755,?,147,147
0.74337,0.929103,class2,47,147
0.959208,0.064669,?,148,148
0.644012,0.11049,class1,48,148
0.899597,0.616826,?,149,149
0.306483,0.880599,class2,49,149
0.850822,0.196371,?,150,150
0.928894,0.196689,class2,50,150
0.572311,0.284694,?,151,151
0.157631,0.042179,class1,51,151
0.092116,0.426465,?,152,152
0.786609,0.712752,class2,52,152
0.839862,0.000263,?,153,153
0.762133,0.030069,class1,53,153
0.681773,0.962371,?,154,154
0.667073,0.426443,class2,54,154
0.177861,0.129111,?,155,155
0.743762,0.365306,class2,55,155
0.180322,0.333478,?,156,156
0.322669,0.512719,class1,56,156
0.196066,0.262238,?,157,157
0.131169,0.031796,class1,57,157
0.344539,0.759286,?,158,158
0.691521,0.719076,class2,58,158
0.450383,0.427233,?,159,159
0.288101,0.781355,class1,59,159
0.700989,0.024813,?,160,160
0.996523,0.239106,class2,60,160
0.433898,0.38764,?,161,161
0.130222,0.234474,class1,61,161
0.908114,0.078529,?,162,162
0.57223,0.555967,class2,62,162
0.568063,0.817914,?,163,163
0.920281,0.723751,class2,63,163
0.78941,0.779971,?,164,164
0.242276,0.175702,class1,64,164
0.603767,0.791296,?,165,165
0.829691,0.601915,class2,65,165
0.05774,0.745025,?,166,166
0.303367,0.065397,class1,66,166
0.074619,0.879717,?,167,167
0.266417,0.229171,class1,67,167
0.755489,0.649751,?,168,168
0.371941,0.857127,class2,68,168
0.982472,0.157395,?,169,169
0.388729,0.265246,class1,69,169
0.679149,0.225957,?,170,170
0.669785,0.074361,class1,70,170
0.133566,0.551488,?,171,171
0.178662,0.029633,class1,71,171
0.771374,0.315165,?,172,172
0.277778,0.115788,class1,72,172
0.862476,0.681682,?,173,173
0.349011,0.228136,class1,73,173
0.98955,0.028426,?,174,174
0.594631,0.80989,class2,74,174
0.894678,0.57297,?,175,175
0.348981,0.053093,class1,75,175
0.197502,0.307974,?,176,176
0.681526,0.583743,class2,76,176
0.905521,0.268599,?,177,177
0.945992,0.686431,class2,77,177
0.485843,0.00805,?,178,178
0.444599,0.707614,class2,78,178
0.766812,0.379037,?,179,179
0.658894,0.315918,class2,79,179
0.175441,0.245401,?,180,180
0.155579,0.453404,class1,80,180
0.349371,0.303015,?,181,181
0.549693,0.522259,class2,81,181
0.876051,0.938791,?,182,182
0.696113,0.094877,class1,82,182
0.122705,0.182854,?,183,183
0.129678,0.023599,class1,83,183
0.995798,0.619286,?,184,184
0.052321,0.469954,class1,84,184
0.197279,0.402235,?,185,185
0.969097,0.349986,class2,85,185
0.274203,0.191401,?,186,186
0.011229,0.794023,class1,86,186
0.161528,0.503797,?,187,187
0.818942,0.74786,class2,87,187
0.348096,0.036364,?,188,188
0.107704,0.766033,class1,88,188
0.329367,0.058935,?,189,189
0.945102,0.027574,class2,89,189
0.271923,0.833682,?,190,190
0.636326,0.938539,class2,90,190
0.323954,0.135224,?,191,191
0.959682,0.81878,class2,91,191
0.876915,0.631565,?,192,192
0.833772,0.255716,class2,92,192
0.253422,0.309244,?,193,193
0.716492,0.801783,class2,93,193
0.051735,0.900348,?,194,194
0.11964,0.510583,class1,94,194
0.792178,0.505182,?,195,195
0.05687,0.559841,class1,95,195
0.504696,0.670188,?,196,196
0.882235,0.879977,class2,96,196
0.959658,0.502627,?,197,197
0.071766,0.229253,class1,97,197
0.477601,0.983557,?,198,198
0.645459,0.292982,class2,98,198
0.213767,0.559913,?,199,199
0.544344,0.701811,class2,99,199
0.736533,0.117461,?,200,200
0.347333,0.039794,class1,100,200
0.059856,0.911311,?,201,201
0.796681,0.707927,class2,101,201
0.087459,0.667299,?,202,202
0.80332,0.082084,class2,102,202
0.863436,0.69551,?,203,203
0.961182,0.238113,class2,103,203
0.635867,0.185479,?,204,204
0.481088,0.065748,class1,104,204
0.075823,0.296906,?,205,205
0.893238,0.864376,class2,105,205
0.120555,0.66961,?,206,206
0.349781,0.129969,class1,106,206
0.000758,0.877347,?,207,207
0.431965,0.129873,class1,107,207
0.352414,0.567698,?,208,208
0.517706,0.554398,class2,108,208
0.395468,0.650505,?,209,209
0.380352,0.172498,class1,109,209
0.139092,0.86617,?,210,210
0.478372,0.87529,class2,110,210
0.194542,0.919905,?,211,211
0.529256,0.633051,class2,111,211
0.994767,0.240097,?,212,212
0.24625,0.851922,class1,112,212
0.036824,0.139919,?,213,213
0.889826,0.027663,class2,113,213
0.449267,0.647154,?,214,214
0.290077,0.081628,class1,114,214
0.866045,0.951383,?,215,215
0.359339,0.603125,class1,115,215
0.270013,0.345817,?,216,216
0.631842,0.884465,class2,116,216
0.951209,0.833835,?,217,217
0.643277,0.067801,class1,117,217
0.390977,0.306289,?,218,218
0.552196,0.530531,class2,118,218
0.253371,0.357973,?,219,219
0.943693,0.934496,class2,119,219
0.661319,0.786563,?,220,220
0.165558,0.922308,class1,120,220
0.156249,0.027591,?,221,221
0.7365,0.819015,class2,121,221
0.648522,0.376875,?,222,222
0.447722,0.413509,class1,122,222
0.418375,0.991966,?,223,223
0.668876,0.312331,class2,123,223
0.981853,0.71919,?,224,224
0.721769,0.721435,class2,124,224
0.517835,0.968851,?,225,225
0.967329,0.748228,class2,125,225
0.036372,0.014101,?,226,226
0.850344,0.53305,class2,126,226
0.80507,0.135833,?,227,227
0.746436,0.693804,class2,127,227
0.929499,0.199908,?,228,228
0.519111,0.811278,class2,128,228
0.497141,0.473896,?,229,229
0.721356,0.528968,class2,129,229
0.73458,0.676324,?,230,230
0.711968,0.357314,class2,130,230
0.21498,0.641196,?,231,231
0.262171,0.393711,class1,131,231
0.771754,0.73117,?,232,232
0.317363,0.491337,class1,132,232
0.644658,0.336351,?,233,233
0.676968,0.768814,class2,133,233
0.687668,0.480023,?,234,234
0.420145,0.876458,class2,134,234
0.890098,0.807119,?,235,235
0.500493,0.326165,class1,135,235
0.51378,0.447821,?,236,236
0.237418,0.362094,class1,136,236
0.05776,0.560038,?,237,237
0.306951,0.608128,class1,137,237
0.838847,0.693978,?,238,238
0.472055,0.080653,class1,138,238
0.688013,0.926396,?,239,239
0.804852,0.849638,class2,139,239
0.845013,0.129204,?,240,240
0.565148,0.947068,class2,140,240
0.421653,0.29632,?,241,241
0.338515,0.479592,class1,141,241
0.048151,0.897796,?,242,242
0.5197,0.720625,class2,142,242
0.09652,0.011519,?,243,243
0.279124,0.776811,class1,143,243
0.820821,0.142944,?,244,244
0.592368,0.163075,class1,144,244
0.625613,0.933648,?,245,245
0.486869,0.916713,class2,145,245
0.938623,0.358209,?,246,246
0.767731,0.821168,class2,146,246
0.066409,0.013782,?,247,247
0.147554,0.443755,class1,147,247
0.615626,0.813761,?,248,248
0.959208,0.064669,class2,148,248
0.287253,0.073162,?,249,249
0.899597,0.616826,class2,149,249
0.528891,0.173665,?,250,250
0.850822,0.196371,class2,150,250
0.341391,0.869467,?,251,251
0.572311,0.284694,class1,151,251
0.782497,0.567145,?,252,252
0.092116,0.426465,class1,152,252
0.827108,0.129094,?,253,253
0.839862,0.000263,class2,153,253
0.343533,0.70352,?,254,254
0.681773,0.962371,class2,154,254
0.133005,0.946326,?,255,255
0.177861,0.129111,class1,155,255
0.271649,0.522916,?,256,256
0.180322,0.333478,class1,156,256
0.014189,0.016345,?,257,257
0.196066,0.262238,class1,157,257
0.744354,0.732749,?,258,258
0.344539,0.759286,class1,158,258
0.626084,0.921576,?,259,259
0.450383,0.427233,class1,159,259
0.996364,0.007622,?,260,260
0.700989,0.024813,class1,160,260
0.150164,0.82998,?,261,261
0.433898,0.38764,class1,161,261
0.496217,0.726376,?,262,262
0.908114,0.078529,class2,162,262
0.906783,0.799396,?,263,263
0.568063,0.817914,class2,163,263
0.989789,0.717439,?,264,264
0.78941,0.779971,class2,164,264
0.275715,0.582541,?,265,265
0.603767,0.791296,class2,165,265
0.070331,0.399924,?,266,266
0.05774,0.745025,class1,166,266
0.480391,0.671393,?,267,267
0.074619,0.879717,class1,167,267
0.169648,0.994681,?,268,268
0.755489,0.649751,class2,168,268
0.967131,0.944943,?,269,269
0.982472,0.157395,class2,169,269
0.895895,0.672985,?,270,270
0.679149,0.225957,class2,170,270
0.590051,0.937792,?,271,271
0.133566,0.551488,class1,171,271
0.420319,0.881217,?,272,272
0.771374,0.315165,class2,172,272
0.444555,0.535351,?,273,273
0.862476,0.681682,class2,173,273
0.697777,0.882588,?,274,274
0.98955,0.028426,class2,174,274
0.06026,0.040095,?,275,275
0.894678,0.57297,class2,175,275
0.112859,0.28103,?,276,276
0.197502,0.307974,class1,176,276
0.835356,0.617838,?,277,277
0.905521,0.268599,class2,177,277
0.203381,0.91137,?,278,278
0.485843,0.00805,class1,178,278
0.37043,0.307732,?,279,279
0.766812,0.379037,class2,179,279
0.313413,0.701879,?,280,280
0.175441,0.245401,class1,180,280
0.526922,0.108722,?,281,281
0.349371,0.303015,class1,181,281
0.866156,0.632619,?,282,282
0.876051,0.938791,class2,182,282
0.113992,0.291691,?,283,283
0.122705,0.182854,class1,183,283
0.779123,0.652429,?,284,284
0.995798,0.619286,class2,184,284
0.602741,0.543405,?,285,285
0.197279,0.402235,class1,185,285
0.836157,0.790067,?,286,286
0.274203,0.191401,class1,186,286
0.917486,0.947431,?,287,287
0.161528,0.503797,class1,187,287
0.407991,0.846441,?,288,288
0.348096,0.036364,class1,188,288
0.383955,0.130135,?,289,289
0.329367,0.058935,class1,189,289
0.209884,0.114907,?,290,290
0.271923,0.833682,class1,190,290
0.281756,0.237345,?,291,291
0.323954,0.135224,class1,191,291
0.095314,0.909548,?,292,292
0.876915,0.631565,class2,192,292
0.095642,0.209508,?,293,293
0.253422,0.309244,class1,193,293
0.61208,0.135807,?,294,294
0.051735,0.900348,class1,194,294
0.663833,0.149816,?,295,295
0.792178,0.505182,class2,195,295
0.954172,0.29683,?,296,296
0.504696,0.670188,class2,196,296
0.642911,0.34967,?,297,297
0.959658,0.502627,class2,197,297
0.401461,0.75977,?,298,298
0.477601,0.983557,class2,198,298
0.44326,0.777409,?,299,299
0.213767,0.559913,class1,199,299
0.581099,0.61087,?,300,300
0.736533,0.117461,class2,200,300
0.416441,0.937042,?,301,301
0.059856,0.911311,class1,201,301
0.250341,0.292517,?,302,302
0.087459,0.667299,class1,202,302
0.210583,0.961014,?,303,303
0.863436,0.69551,class2,203,303
0.490429,0.460131,?,304,304
0.635867,0.185479,class1,204,304
0.950457,0.471033,?,305,305
0.075823,0.296906,class1,205,305
0.524891,0.126623,?,306,306
0.120555,0.66961,class1,206,306
0.07842,0.089747,?,307,307
0.000758,0.877347,class1,207,307
0.001973,0.416487,?,308,308
0.352414,0.567698,class1,208,308
0.128149,0.838603,?,309,309
0.395468,0.650505,class1,209,309
0.788248,0.853984,?,310,310
0.139092,0.86617,class1,210,310
0.446951,0.948179,?,311,311
0.194542,0.919905,class1,211,311
0.746528,0.51839,?,312,312
0.994767,0.240097,class2,212,312
0.470418,0.63064,?,313,313
0.036824,0.139919,class1,213,313
0.862984,0.056227,?,314,314
0.449267,0.647154,class2,214,314
0.855881,0.02297,?,315,315
0.866045,0.951383,class2,215,315
0.552387,0.122629,?,316,316
0.270013,0.345817,class1,216,316
0.85337,0.06702,?,317,317
0.951209,0.833835,class2,217,317
0.222435,0.49253,?,318,318
0.390977,0.306289,class1,218,318
0.223887,0.420261,?,319,319
0.253371,0.357973,class1,219,319
0.793369,0.73283,?,320,320
0.661319,0.786563,class2,220,320
0.778299,0.32086,?,321,321
0.156249,0.027591,class1,221,321
0.032126,0.83887,?,322,322
0.648522,0.376875,class2,222,322
0.914212,0.50314,?,323,323
0.418375,0.991966,class2,223,323
0.315059,0.726772,?,324,324
0.981853,0.71919,class2,224,324
0.064986,0.974824,?,325,325
0.517835,0.968851,class2,225,325
0.933097,0.536036,?,326,326
0.036372,0.014101,class1,226,326
0.671565,0.535315,?,327,327
0.80507,0.135833,class2,227,327
0.810791,0.667316,?,328,328
0.929499,0.199908,class2,228,328
0.554954,0.003502,?,329,329
0.497141,0.473896,class1,229,329
0.648116,0.675825,?,330,330
0.73458,0.676324,class2,230,330
0.550647,0.012575,?,331,331
0.21498,0.641196,class1,231,331
0.992565,0.113168,?,332,332
0.771754,0.73117,class2,232,332
0.095884,0.055772,?,333,333
0.644658,0.336351,class2,233,333
0.699835,0.195661,?,334,334
0.687668,0.480023,class2,234,334
0.500576,0.977936,?,335,335
0.890098,0.807119,class2,235,335
0.094468,0.545908,?,336,336
0.51378,0.447821,class1,236,336
0.731725,0.909639,?,337,337
0.05776,0.560038,class1,237,337
0.956671,0.96142,?,338,338
0.838847,0.693978,class2,238,338
0.282194,0.449318,?,339,339
0.688013,0.926396,class2,239,339
0.157296,0.198644,?,340,340
0.845013,0.129204,class2,240,340
0.645095,0.789504,?,341,341
0.421653,0.29632,class1,241,341
0.367707,0.596608,?,342,342
0.048151,0.897796,class1,242,342
0.876663,0.140417,?,343,343
0.09652,0.011519,class1,243,343
0.17296,0.209366,?,344,344
0.820821,0.142944,class2,244,344
0.989402,0.771869,?,345,345
0.625613,0.933648,class2,245,345
0.112177,0.163073,?,346,346
0.938623,0.358209,class2,246,346
0.493964,0.925883,?,347,347
0.066409,0.013782,class1,247,347
0.515889,0.628506,?,348,348
0.615626,0.813761,class2,248,348
0.307665,0.76043,?,349,349
0.287253,0.073162,class1,249,349
0.472084,0.014265,?,350,350
0.528891,0.173665,class1,250,350
